;Country Name;Country Code;Year;Value
134;Uruguay;URY;2004;30.4
137;Uruguay;URY;2005;30.6
140;Uruguay;URY;2006;30.0
143;Uruguay;URY;2007;29.3
146;Uruguay;URY;2008;29.1
149;Uruguay;URY;2009;28.8
152;Uruguay;URY;2010;29.0
155;Uruguay;URY;2011;29.0
158;Uruguay;URY;2012;30.3
161;Uruguay;URY;2013;31.3
164;Uruguay;URY;2014;32.3
167;Uruguay;URY;2015;32.9
170;Uruguay;URY;2016;33.0
173;Uruguay;URY;2017;33.6
176;Uruguay;URY;2018;34.0
179;Uruguay;URY;2019;34.3
182;Uruguay;URY;2020;35.4
185;Uruguay;URY;2021;36.4
188;Uruguay;URY;2022;37.1
191;Uruguay;URY;2023;35.6
