;Country Name;Country Code;Year;Mobile Cellular Subscriptions
177;Argentina;ARG;2019;56400000.0
178;Chile;CHL;2019;25100000.0
179;Uruguay;URY;2019;4530000.0
180;Argentina;ARG;2020;54800000.0
181;Chile;CHL;2020;25100000.0
182;Uruguay;URY;2020;4550000.0
184;Chile;CHL;2021;26600000.0
183;Argentina;ARG;2021;59100000.0
185;Uruguay;URY;2021;4690000.0
187;Chile;CHL;2022;26400000.0
186;Argentina;ARG;2022;59700000.0
188;Uruguay;URY;2022;4740000.0
190;Chile;CHL;2023;26700000.0
189;Argentina;ARG;2023;62700000.0
191;Uruguay;URY;2023;4800000.0
